command,pointer,valid,type,channel,head_hex,triple_referenced,triple_sound_indices,direct_source_reference
310,0xFFFFFF,False,,,,False,,
311,0xFFFFFF,False,,,,False,,
312,0x00A322,True,1,1,01010000,True,032,
313,0x00A334,True,1,2,01020000,False,,
314,0x00A346,True,1,3,01030000,False,,
315,0x00A358,True,1,4,01040000,False,,
316,0x00A36A,True,1,1,01010000,True,0C0,
317,0x00A388,True,1,2,01020000,False,,
318,0x00A3A6,True,1,3,01030000,False,,
319,0x00A3C4,True,1,4,01040000,False,,
320,0x00A3E2,True,1,1,01010000,True,0C2,
321,0x00A400,True,1,2,01020000,False,,
322,0x00A41E,True,1,3,01030000,False,,
323,0x00A43C,True,1,4,01040000,False,,
324,0x00A45A,True,1,1,01010000,True,0CD,
325,0x00A478,True,1,2,01020000,False,,
326,0x00A496,True,1,3,01030000,False,,
327,0x00A4B4,True,1,4,01040000,False,,
328,0x00A4D2,True,1,1,01010000,True,0B1,
329,0x00A4E4,True,1,2,01020000,False,,
330,0x00A4F6,True,1,3,01030000,False,,
331,0x00A508,True,1,4,01040000,False,,
332,0xFFFFFF,False,,,,False,,
333,0xFFFFFF,False,,,,False,,
334,0xFFFFFF,False,,,,False,,
335,0xFFFFFF,False,,,,True,0B3,
336,0xFFFFFF,False,,,,False,,
337,0xFFFFFF,False,,,,False,,
338,0xFFFFFF,False,,,,False,,
339,0xFFFFFF,False,,,,False,,
340,0x00A51A,True,1,1,01010000,False,,
341,0x00A538,True,1,2,01020000,False,,
342,0x00A556,True,1,3,01030000,False,,
343,0x00A574,True,1,4,01040000,False,,
344,0x00A51A,True,1,1,01010000,True,0B4,
345,0x00A538,True,1,2,01020000,False,,
346,0x00A556,True,1,3,01030000,False,,
347,0x00A574,True,1,4,01040000,False,,
348,0x00A592,True,1,1,01010000,True,0AC,
349,0x00A5B0,True,1,2,01020000,False,,
350,0x00A5CE,True,1,3,01030000,False,,
351,0x00A5EC,True,1,4,01040000,False,,
352,0x00A60A,True,1,1,01010000,True,0B2,
353,0x00A628,True,1,2,01020000,False,,
354,0x00A646,True,1,3,01030000,False,,
355,0x00A664,True,1,4,01040000,False,,
356,0x00B0D2,True,1,1,01010000,False,,
357,0x00B0E4,True,1,2,01020000,False,,
358,0x00B0F6,True,1,3,01030000,False,,
359,0x00B108,True,1,4,01040000,False,,
360,0x00A682,True,1,1,01010000,True,0AA,
361,0x00A6A0,True,1,2,01020000,False,,
362,0x00A6BE,True,1,3,01030000,False,,
363,0x00A6DC,True,1,4,01040000,False,,
364,0x00A6FA,True,1,1,01010000,False,,
365,0x00A718,True,1,2,01020000,False,,
366,0x00A736,True,1,3,01030000,False,,
367,0x00A754,True,1,4,01040000,False,,
368,0x00A772,True,1,1,01010000,True,0AD,
369,0x00A790,True,1,2,01020000,False,,
370,0x00A7AE,True,1,3,01030000,False,,
371,0x00A7CC,True,1,4,01040000,False,,
372,0x00A7EA,True,1,1,01010000,False,,
373,0x00A7FC,True,1,2,01020000,False,,
374,0x00A80E,True,1,3,01030000,False,,
375,0x00A820,True,1,4,01040000,False,,
376,0x00A832,True,1,1,01010000,True,0B6,
377,0x00A844,True,1,2,01020000,False,,
378,0x00A856,True,1,3,01030000,False,,
379,0x00A868,True,1,4,01040000,False,,
380,0x00A6FA,True,1,1,01010000,True,0BE,
381,0x00A718,True,1,2,01020000,False,,
382,0x00A736,True,1,3,01030000,False,,
383,0x00A754,True,1,4,01040000,False,,
384,0xFFFFFF,False,,,,False,,
385,0xFFFFFF,False,,,,False,,
386,0xFFFFFF,False,,,,False,,
387,0xFFFFFF,False,,,,False,,
388,0xFFFFFF,False,,,,False,,
389,0xFFFFFF,False,,,,False,,
390,0xFFFFFF,False,,,,False,,
391,0xFFFFFF,False,,,,False,,
392,0xFFFFFF,False,,,,False,,
393,0xFFFFFF,False,,,,False,,
394,0xFFFFFF,False,,,,False,,
395,0xFFFFFF,False,,,,False,,
396,0xFFFFFF,False,,,,False,,
397,0xFFFFFF,False,,,,False,,
398,0xFFFFFF,False,,,,False,,
399,0xFFFFFF,False,,,,False,,
400,0xFFFFFF,False,,,,False,,
401,0xFFFFFF,False,,,,False,,
402,0xFFFFFF,False,,,,False,,
403,0xFFFFFF,False,,,,False,,
404,0xFFFFFF,False,,,,False,,
405,0xFFFFFF,False,,,,False,,
406,0xFFFFFF,False,,,,False,,
407,0xFFFFFF,False,,,,False,,
408,0x00A87A,True,1,1,01010000,True,03D,
409,0x00A898,True,1,2,01020000,False,,
410,0x00A8B6,True,1,3,01030000,False,,
411,0x00A8D4,True,1,4,01040000,False,,
412,0x00A8F2,True,1,1,01010000,True,00B,
413,0x00A910,True,1,2,01020000,False,,
414,0x00A92E,True,1,3,01030000,False,,
415,0x00A94C,True,1,4,01040000,False,,
416,0x00A96A,True,1,1,01010000,True,00C,
417,0x00A988,True,1,2,01020000,False,,
418,0x00A9A6,True,1,3,01030000,False,,
419,0x00A9C4,True,1,4,01040000,False,,
420,0x00A9E2,True,1,1,01010000,False,,
421,0x00AA00,True,1,2,01020000,False,,
422,0x00AA1E,True,1,3,01030000,False,,
423,0x00AA3C,True,1,4,01040000,False,,
424,0x00AA5A,True,1,1,01010000,True,00D,
425,0x00AA78,True,1,2,01020000,False,,
426,0x00AA96,True,1,3,01030000,False,,
427,0x00AAB4,True,1,4,01040000,False,,
428,0x00AAD2,True,1,1,01010000,True,046,
429,0x00AAE4,True,1,2,01020000,False,,
430,0x00AAF6,True,1,3,01030000,False,,
431,0x00AB08,True,1,4,01040000,False,,
432,0x00AB1A,True,1,1,01010000,True,047,
433,0x00AB2C,True,1,2,01020000,False,,
434,0x00AB3E,True,1,3,01030000,True,0B5,
435,0x00AB50,True,1,4,01040000,False,,
436,0xFFFFFF,False,,,,False,,
437,0xFFFFFF,False,,,,False,,
438,0xFFFFFF,False,,,,False,,
439,0xFFFFFF,False,,,,False,,
440,0xFFFFFF,False,,,,False,,
441,0xFFFFFF,False,,,,False,,
442,0xFFFFFF,False,,,,False,,
443,0xFFFFFF,False,,,,False,,
444,0xFFFFFF,False,,,,False,,
445,0xFFFFFF,False,,,,False,,
446,0xFFFFFF,False,,,,False,,
447,0xFFFFFF,False,,,,False,,
448,0x00AB62,True,1,1,01010000,False,,
449,0x00AB80,True,1,2,01020000,False,,
450,0x00AB9E,True,1,3,01030000,False,,
451,0x00ABBC,True,1,4,01040000,False,,
452,0xFFFFFF,False,,,,False,,
453,0xFFFFFF,False,,,,False,,
454,0xFFFFFF,False,,,,False,,
455,0xFFFFFF,False,,,,False,,
456,0xFFFFFF,False,,,,False,,
457,0xFFFFFF,False,,,,False,,
458,0xFFFFFF,False,,,,False,,
459,0xFFFFFF,False,,,,False,,
460,0x00ABDA,True,1,1,01010000,True,00A,
461,0x00ABEC,True,1,2,01020000,False,,
462,0x00ABFE,True,1,3,01030000,False,,
463,0x00AC10,True,1,4,01040000,False,,
464,0x00AC22,True,1,1,01010000,True,098,
465,0x00AC64,True,1,2,01020000,False,,
466,0x00ACA6,True,1,3,01030000,False,,
467,0x00ACE8,True,1,4,01040000,False,,
468,0x00938C,True,1,1,01010001,True,0D7,
469,0x009391,True,1,2,01020001,False,,
470,0x009396,True,1,3,01030001,False,,
471,0x00939B,True,1,4,01040001,False,,
472,0x00938C,True,1,1,01010001,True,0D8,
473,0x009391,True,1,2,01020001,False,,
474,0x009396,True,1,3,01030001,False,,
475,0x00939B,True,1,4,01040001,False,,
476,0x00938C,True,1,1,01010001,True,0D9,
477,0x009391,True,1,2,01020001,False,,
478,0x009396,True,1,3,01030001,False,,
479,0x00939B,True,1,4,01040001,False,,
480,0x00AD2A,True,1,1,01010000,True,0DA,
481,0x00AD3C,True,1,2,01020000,False,,
482,0x00AD4E,True,1,3,01030000,False,,
483,0x00AD60,True,1,4,01040000,False,,
484,0x00938C,True,1,1,01010001,True,0DB,
485,0x009391,True,1,2,01020001,False,,
486,0x009396,True,1,3,01030001,False,,
487,0x00939B,True,1,4,01040001,False,,
488,0x00938C,True,1,1,01010001,True,0DC,
489,0x009391,True,1,2,01020001,False,,
490,0x009396,True,1,3,01030001,False,,
491,0x00939B,True,1,4,01040001,False,,
492,0xFFFFFF,False,,,,False,,
493,0xFFFFFF,False,,,,False,,
494,0xFFFFFF,False,,,,False,,
495,0xFFFFFF,False,,,,False,,
496,0xFFFFFF,False,,,,False,,
497,0xFFFFFF,False,,,,False,,
498,0xFFFFFF,False,,,,False,,
499,0xFFFFFF,False,,,,False,,
500,0xFFFFFF,False,,,,False,,
501,0xFFFFFF,False,,,,False,,
502,0xFFFFFF,False,,,,False,,
503,0xFFFFFF,False,,,,False,,
504,0xFFFFFF,False,,,,False,,
505,0xFFFFFF,False,,,,False,,
506,0xFFFFFF,False,,,,False,,
507,0xFFFFFF,False,,,,False,,
508,0xFFFFFF,False,,,,False,,
509,0xFFFFFF,False,,,,False,,
510,0xFFFFFF,False,,,,False,,
511,0xFFFFFF,False,,,,False,,
512,0x00938C,True,1,1,01010001,False,,
513,0x009391,True,1,2,01020001,False,,
514,0x009396,True,1,3,01030001,False,,
515,0x00939B,True,1,4,01040001,False,,
516,0x00AD72,True,1,1,01010000,False,,
517,0x00AD84,True,1,2,01020000,False,,
518,0x00AD96,True,1,3,01030000,False,,
519,0x00ADA8,True,1,4,01040000,False,,
520,0x00ADBA,True,1,1,01010000,False,,
521,0x00ADCC,True,1,2,01020000,False,,
522,0x00ADDE,True,1,3,01030000,False,,
523,0x00ADF0,True,1,4,01040000,False,,
524,0x00AE02,True,1,1,01010000,True,050,
525,0x00AE14,True,1,2,01020000,False,,
526,0x00AE26,True,1,3,01030000,False,,
527,0x00AE38,True,1,4,01040000,False,,
528,0xFFFFFF,False,,,,True,051,
529,0xFFFFFF,False,,,,False,,
530,0xFFFFFF,False,,,,False,,
531,0xFFFFFF,False,,,,False,,
532,0xFFFFFF,False,,,,False,,
533,0xFFFFFF,False,,,,False,,
534,0xFFFFFF,False,,,,False,,
535,0xFFFFFF,False,,,,False,,
536,0xFFFFFF,False,,,,True,053,
537,0xFFFFFF,False,,,,False,,
538,0xFFFFFF,False,,,,False,,
539,0xFFFFFF,False,,,,False,,
540,0xFFFFFF,False,,,,True,054,
541,0xFFFFFF,False,,,,False,,
542,0xFFFFFF,False,,,,False,,
543,0xFFFFFF,False,,,,False,,
544,0x00AE4A,True,1,1,01010000,True,055,
545,0x00AE5C,True,1,2,01020000,False,,
546,0x00AE6E,True,1,3,01030000,False,,
547,0x00AE80,True,1,4,01040000,False,,
548,0x00AE4A,True,1,1,01010000,True,056,
549,0x00AE5C,True,1,2,01020000,False,,
