triple_sound_index_hex,triple_sound_index_dec,dcs_command,valid,track_pointer
21C,540,4620,True,0x013B46
21D,541,4624,True,0x013B8E
21E,542,4628,True,0x013BD6
21F,543,4632,True,0x013C1E
220,544,4636,True,0x013C66
221,545,4640,True,0x013C66
222,546,4644,True,0x013CAE
223,547,4648,True,0x013CF6
224,548,4652,True,0x013D3E
225,549,4656,True,0x013D3E
226,550,4660,True,0x013D3E
227,551,4664,True,0x013D3E
228,552,4668,True,0x013D3E
229,553,4672,True,0x013D86
22A,554,4676,True,0x013D86
22B,555,4680,True,0x013DCE
22C,556,4684,True,0x013E46
22D,557,4688,True,0x013EBE
22E,558,4692,True,0x013F36
22F,559,4696,True,0x013FAE
230,560,4700,True,0x014026
231,561,4704,True,0x014026
232,562,4708,True,0x01409E
233,563,4712,True,0x014116
234,564,4528,True,0x01330B
235,565,4532,True,0x013353
236,566,4800,True,0x01418E
237,567,4804,True,0x0141D6
238,568,4808,True,0x01421E
239,569,4812,True,0x014266
23A,570,4816,True,0x0142AE
23B,571,4820,True,0x0142F6
23C,572,4824,True,0x01433E
23D,573,4828,True,0x014456
23E,574,4832,True,0x01449E
23F,575,4836,True,0x0144E6
240,576,4840,True,0x01452E
241,577,4844,True,0x014576
242,578,4848,True,0x0145BE
243,579,4852,True,0x014606
244,580,4856,True,0x01464E
245,581,4860,True,0x014696
246,582,4864,True,0x0146DE
247,583,4868,True,0x014726
248,584,4872,True,0x01476E
249,585,4876,True,0x0147B6
24A,586,4880,True,0x0147FE
24B,587,4884,True,0x014846
24C,588,4888,True,0x01488E
24D,589,4892,True,0x0148D6
24E,590,4896,True,0x01491E
24F,591,4900,True,0x014966
250,592,4904,True,0x0149AE
251,593,4908,True,0x014A26
252,594,4912,True,0x014A9E
253,595,4916,True,0x014B16
254,596,4920,True,0x014B8E
255,597,4924,True,0x014C06
256,598,4928,True,0x014C7E
257,599,4932,True,0x014CF6
258,600,4936,True,0x014D6E
259,601,4940,True,0x014DE6
25A,602,4944,True,0x014E5E
25B,603,4948,True,0x014ED6
25C,604,4952,True,0x014F4E
25D,605,4956,True,0x014FC6
25E,606,4960,True,0x01503E
25F,607,4964,True,0x0150B6
260,608,4968,True,0x01512E
261,609,4972,True,0x0151A6
262,610,4976,True,0x01521E
263,611,4980,True,0x015296
264,612,4984,True,0x01530E
265,613,4988,True,0x015386
266,614,4992,True,0x0153FE
267,615,5000,True,0x015476
268,616,5004,True,0x0154EE
269,617,5008,True,0x015566
26A,618,5012,True,0x0155DE
26B,619,5016,True,0x015656
26C,620,5020,True,0x0156CE
26D,621,5024,True,0x015746
26E,622,5028,True,0x0157BE
26F,623,5032,True,0x015836
270,624,5036,True,0x0158AE
271,625,5040,True,0x015926
272,626,5044,True,0x01599E
273,627,5048,True,0x0159E6
274,628,5052,True,0x015A2E
275,629,5056,True,0x015A76
276,630,5060,True,0x015ABE
277,631,5064,True,0x015B06
278,632,5068,True,0x015B4E
279,633,5072,True,0x015B96
27A,634,5076,True,0x015BDE
27B,635,5080,True,0x015C26
27C,636,5084,True,0x015C6E
27D,637,5088,True,0x015CB6
27E,638,5092,True,0x015CFE
27F,639,5096,True,0x015D46
280,640,5100,True,0x015D8E
281,641,5104,True,0x015DD6
282,642,564,True,0x019646
283,643,568,True,0x00AF22
284,644,572,True,0x00AF6A
285,645,576,True,0x00AFB2
286,646,580,True,0x00AFFA
287,647,584,True,0x00B042
288,648,0,True,0x008E42
289,649,0,True,0x008E42
28A,650,0,True,0x008E42
28B,651,0,True,0x008E42
28C,652,0,True,0x008E42
28D,653,0,True,0x008E42
28E,654,0,True,0x008E42
28F,655,0,True,0x008E42
290,656,1600,True,0x00CD8C
291,657,1604,True,0x00CDD4
292,658,1608,True,0x00CE1C
293,659,1612,True,0x00CE64
294,660,1616,True,0x00CEAC
295,661,1620,True,0x00D164
296,662,1624,True,0x00D1AC
297,663,1628,True,0x00D1F4
298,664,1632,True,0x00D25C
299,665,1636,True,0x00D2C4
29A,666,0,True,0x008E42
29B,667,0,True,0x008E42
29C,668,0,True,0x008E42
29D,669,0,True,0x008E42
29E,670,0,True,0x008E42
29F,671,0,True,0x008E42
2A0,672,0,True,0x008E42
2A1,673,0,True,0x008E42
2A2,674,0,True,0x008E42
2A3,675,0,True,0x008E42
2A4,676,0,True,0x008E42
2A5,677,0,True,0x008E42
2A6,678,0,True,0x008E42
2A7,679,0,True,0x008E42
2A8,680,0,True,0x008E42
2A9,681,0,True,0x008E42
2AA,682,0,True,0x008E42
2AB,683,0,True,0x008E42
2AC,684,0,True,0x008E42
2AD,685,0,True,0x008E42
2AE,686,0,True,0x008E42
2AF,687,0,True,0x008E42
2B0,688,0,True,0x008E42
2B1,689,0,True,0x008E42
2B2,690,0,True,0x008E42
2B3,691,0,True,0x008E42
2B4,692,6200,True,0x01657E
2B5,693,0,True,0x008E42
2B6,694,6208,True,0x016616
2B7,695,6212,True,0x0166AE
2B8,696,6216,True,0x016746
2B9,697,6220,True,0x0167DE
2BA,698,6224,True,0x016876
2BB,699,6236,True,0x01690E
2BC,700,0,True,0x008E42
2BD,701,0,True,0x008E42
2BE,702,6240,True,0x0169A6
2BF,703,0,True,0x008E42
2C0,704,0,True,0x008E42
2C1,705,0,True,0x008E42
2C2,706,0,True,0x008E42
2C3,707,0,True,0x008E42
2C4,708,0,True,0x008E42
2C5,709,0,True,0x008E42
2C6,710,0,True,0x008E42
2C7,711,6276,True,0x016A3E
2C8,712,6280,True,0x016AB6
2C9,713,6284,True,0x016B2E
2CA,714,6288,True,0x016BA6
2CB,715,6292,True,0x016C1E
2CC,716,6296,True,0x016C96
2CD,717,6300,True,0x016D0E
2CE,718,6304,True,0x016D86
2CF,719,6308,True,0x016DFE
2D0,720,0,True,0x008E42
2D1,721,6316,True,0x016F2E
2D2,722,6320,True,0x016FC6
2D3,723,6324,True,0x01705E
2D4,724,6328,True,0x0170F6
2D5,725,6332,True,0x01718E
2D6,726,6336,True,0x017226
2D7,727,0,True,0x008E42
2D8,728,6344,True,0x017356
2D9,729,6348,True,0x0173EE
2DA,730,6352,True,0x017466
2DB,731,6356,True,0x0174FE
2DC,732,6360,True,0x017576
2DD,733,6376,True,0x017756
2DE,734,6412,True,0x017B8E
2DF,735,0,True,0x008E42
2E0,736,0,True,0x008E42
2E1,737,6424,True,0x017CF6
2E2,738,6428,True,0x017D6E
2E3,739,6432,True,0x017DE6
2E4,740,6440,True,0x017ED6
2E5,741,6452,True,0x01803E
2E6,742,6456,True,0x0180B6
2E7,743,6460,True,0x01812E
2E8,744,6472,True,0x018296
2E9,745,6488,True,0x018476
2EA,746,6492,True,0x0184EE
2EB,747,6496,True,0x018566
2EC,748,6512,True,0x018746
2ED,749,6516,True,0x0187BE
2EE,750,6520,True,0x018836
2EF,751,6528,True,0x0188AE
2F0,752,0,True,0x008E42
2F1,753,6540,True,0x018A16
2F2,754,6544,True,0x018A8E
2F3,755,6548,True,0x018B06
2F4,756,6552,True,0x018B7E
2F5,757,6560,True,0x018C6E
2F6,758,6568,True,0x018D5E
2F7,759,6576,True,0x018E4E
2F8,760,6592,True,0x01902E
2F9,761,6608,True,0x01920E
2FA,762,6612,True,0x019286
2FB,763,6616,True,0x0192FE
2FC,764,6620,True,0x019376
2FD,765,6624,True,0x0193EE
2FE,766,6628,True,0x019466
2FF,767,6632,True,0x0194DE
300,768,6636,True,0x019556
301,769,6640,True,0x0195CE
302,770,6644,True,0x019646
