command,pointer,valid,type,channel,triple_sound_indices,direct_source_reference
6480,0x018386,True,1,1,1E5,
6484,0x0183FE,True,1,1,1E6,
6488,0x018476,True,1,1,2E9,
6492,0x0184EE,True,1,1,2EA,
6496,0x018566,True,1,1,2EB,
6500,0x0185DE,True,1,1,1E7,
6504,0x018656,True,1,1,1E8,
6508,0x0186CE,True,1,1,1EA,
6512,0x018746,True,1,1,2EC,
6516,0x0187BE,True,1,1,2ED,
6520,0x018836,True,1,1,2EE,
6528,0x0188AE,True,1,1,2EF,
6532,0x018926,True,1,1,1EE,
6536,0x01899E,True,1,1,1ED,
6540,0x018A16,True,1,1,1EF 2F1,
6544,0x018A8E,True,1,1,2F2,
6548,0x018B06,True,1,1,2F3,
6552,0x018B7E,True,1,1,2F4,
6556,0x018BF6,True,1,1,1F8,
6560,0x018C6E,True,1,1,2F5,
6564,0x018CE6,True,1,1,1F0,
6568,0x018D5E,True,1,1,2F6,
6572,0x018DD6,True,1,1,1F1,
6576,0x018E4E,True,1,1,2F7,
6580,0x018EC6,True,1,1,1F2,
6584,0x018F3E,True,1,1,1F4,
6588,0x018FB6,True,1,1,1F3,
6592,0x01902E,True,1,1,2F8,
6600,0x01911E,True,1,1,1F5,
6604,0x019196,True,1,1,1F6,
6608,0x01920E,True,1,1,2F9,
6612,0x019286,True,1,1,2FA,
6616,0x0192FE,True,1,1,2FB,
6620,0x019376,True,1,1,2FC,
6624,0x0193EE,True,1,1,2FD,
6628,0x019466,True,1,1,2FE,
6632,0x0194DE,True,1,1,2FF,
6636,0x019556,True,1,1,300,
6640,0x0195CE,True,1,1,301,
6644,0x019646,True,1,1,302,
