address,stream_channel,repeat,frames,chip,chip_offset
4020772,1,1,66,5,875044
4022430,1,1,60,5,876702
4023746,1,1,62,5,878018
4025206,1,1,58,5,879478
4026544,1,1,164,5,880816
4030384,1,1,308,5,884656
4037458,1,1,99,5,891730
4039948,1,1,259,5,894220
4046182,1,1,51,5,900454
4047352,1,1,47,5,901624
4048520,1,1,49,5,902792
4049752,1,1,148,5,904024
4052670,1,1,224,5,906942
4057962,1,1,115,5,912234
4060348,1,1,82,5,914620
4062120,1,1,115,5,916392
4064956,1,1,166,5,919228
4068562,1,1,149,5,922834
4072224,1,1,118,5,926496
4074982,1,1,113,5,929254
4077674,1,1,58,5,931946
4078964,1,1,131,5,933236
4081768,1,1,131,5,936040
4084596,1,1,114,5,938868
4087288,1,1,160,5,941560
4091296,1,1,268,5,945568
4097668,1,1,139,5,951940
4101636,1,1,59,5,955908
4102952,1,1,70,5,957224
4104636,1,1,164,5,958908
4108560,1,1,60,5,962832
4109864,1,1,59,5,964136
4111230,1,1,72,5,965502
4112836,1,1,86,5,967108
4114854,1,1,85,5,969126
4116846,1,1,112,5,971118
4119382,1,1,323,5,973654
4126622,1,1,93,5,980894
4128932,1,1,238,5,983204
4134140,1,1,183,5,988412
4138604,1,1,67,5,992876
4140068,1,1,104,5,994340
4142502,1,1,266,5,996774
4148730,1,1,49,5,1003002
4149650,1,1,66,5,1003922
4151014,1,1,166,5,1005286
4154684,1,1,66,5,1008956
4156318,1,1,279,5,1010590
4168884,1,1,198,5,1023156
